"No.","Time","D_Time","Source","Destination","Protocol","Length","Info"
"1524","1.868268","0.000210","10.1.2.2","10.1.0.2","TCP","62","50000 > 34042 [ACK] Seq=1 Ack=39053 Win=137040 Len=0 TSval=467 TSecr=452"
"1525","1.869260","0.000992","10.1.0.2","10.1.2.2","TCP","1502","34042 > 50000 [PSH, ACK] Seq=40481 Ack=1 Win=58400 Len=1428 TSval=453 TSecr=453"
"1526","1.869469","0.000209","10.1.2.2","10.1.0.2","TCP","62","50000 > 34042 [ACK] Seq=1 Ack=40481 Win=139952 Len=0 TSval=467 TSecr=453"
"1529","1.870671","0.000160","10.1.2.2","10.1.0.2","TCP","62","50000 > 34042 [ACK] Seq=1 Ack=41909 Win=142880 Len=0 TSval=467 TSecr=453"
"1590","1.905898","0.000992","10.1.0.2","10.1.2.2","TCP","1502","34042 > 50000 [PSH, ACK] Seq=41909 Ack=1 Win=58400 Len=1428 TSval=462 TSecr=461"
"1592","1.907100","0.000992","10.1.0.2","10.1.2.2","TCP","1502","34042 > 50000 [PSH, ACK] Seq=43337 Ack=1 Win=58400 Len=1428 TSval=462 TSecr=461"
"1593","1.907309","0.000209","10.1.2.2","10.1.0.2","TCP","62","50000 > 34042 [ACK] Seq=1 Ack=43337 Win=145792 Len=0 TSval=476 TSecr=462"
"1595","1.908301","0.000172","10.1.0.2","10.1.2.2","TCP","1502","34042 > 50000 [PSH, ACK] Seq=44765 Ack=1 Win=58400 Len=1428 TSval=462 TSecr=462"
"1596","1.908511","0.000210","10.1.2.2","10.1.0.2","TCP","62","50000 > 34042 [ACK] Seq=1 Ack=44765 Win=148720 Len=0 TSval=477 TSecr=462"
"1597","1.909503","0.000992","10.1.0.2","10.1.2.2","TCP","1502","34042 > 50000 [PSH, ACK] Seq=46193 Ack=1 Win=58400 Len=1428 TSval=462 TSecr=462"
"1598","1.909712","0.000209","10.1.2.2","10.1.0.2","TCP","62","50000 > 34042 [ACK] Seq=1 Ack=46193 Win=151632 Len=0 TSval=477 TSecr=462"
"1600","1.910764","0.000060","10.1.0.2","10.1.2.2","TCP","1502","34042 > 50000 [PSH, ACK] Seq=47621 Ack=1 Win=58400 Len=1428 TSval=462 TSecr=462"
"1601","1.910914","0.000150","10.1.2.2","10.1.0.2","TCP","62","50000 > 34042 [ACK] Seq=1 Ack=47621 Win=154560 Len=0 TSval=477 TSecr=462"
"1603","1.911965","0.000982","10.1.0.2","10.1.2.2","TCP","1502","34042 > 50000 [PSH, ACK] Seq=49049 Ack=1 Win=58400 Len=1428 TSval=462 TSecr=462"
"1604","1.912175","0.000210","10.1.2.2","10.1.0.2","TCP","62","50000 > 34042 [ACK] Seq=1 Ack=49049 Win=157472 Len=0 TSval=478 TSecr=462"
"1605","1.913167","0.000992","10.1.0.2","10.1.2.2","TCP","1502","34042 > 50000 [PSH, ACK] Seq=50477 Ack=1 Win=58400 Len=1428 TSval=462 TSecr=462"
"1606","1.913376","0.000209","10.1.2.2","10.1.0.2","TCP","62","50000 > 34042 [ACK] Seq=1 Ack=50477 Win=160400 Len=0 TSval=478 TSecr=462"
"1607","1.914368","0.000992","10.1.0.2","10.1.2.2","TCP","1502","34042 > 50000 [PSH, ACK] Seq=51905 Ack=1 Win=58400 Len=1428 TSval=462 TSecr=462"
"1608","1.914578","0.000210","10.1.2.2","10.1.0.2","TCP","62","50000 > 34042 [ACK] Seq=1 Ack=51905 Win=163312 Len=0 TSval=478 TSecr=462"
"1609","1.915570","0.000992","10.1.0.2","10.1.2.2","TCP","1502","34042 > 50000 [PSH, ACK] Seq=53333 Ack=1 Win=58400 Len=1428 TSval=463 TSecr=463"
"1610","1.915780","0.000210","10.1.2.2","10.1.0.2","TCP","62","50000 > 34042 [ACK] Seq=1 Ack=53333 Win=166240 Len=0 TSval=478 TSecr=462"
"1611","1.916772","0.000992","10.1.0.2","10.1.2.2","TCP","1502","34042 > 50000 [PSH, ACK] Seq=54761 Ack=1 Win=58400 Len=1428 TSval=463 TSecr=463"
"1612","1.916981","0.000209","10.1.2.2","10.1.0.2","TCP","62","50000 > 34042 [ACK] Seq=1 Ack=54761 Win=169152 Len=0 TSval=479 TSecr=463"
"1613","1.917973","0.000992","10.1.0.2","10.1.2.2","TCP","1502","34042 > 50000 [PSH, ACK] Seq=56189 Ack=1 Win=58400 Len=1428 TSval=463 TSecr=463"
"1614","1.918183","0.000210","10.1.2.2","10.1.0.2","TCP","62","50000 > 34042 [ACK] Seq=1 Ack=56189 Win=172080 Len=0 TSval=479 TSecr=463"
"1615","1.919175","0.000992","10.1.0.2","10.1.2.2","TCP","1502","34042 > 50000 [PSH, ACK] Seq=57617 Ack=1 Win=58400 Len=1428 TSval=463 TSecr=463"
