"No.","Time","D_Time","Source","Destination","Protocol","Length","Info"
"1317","1.751973","0.000413","10.1.0.2","10.1.2.2","TCP","74","34042 > 50000 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=424 TSecr=0 WS=16"
"1325","1.755253","0.000088","10.1.2.2","10.1.0.2","TCP","74","50000 > 34042 [SYN, ACK] Seq=0 Ack=1 Win=28560 Len=0 MSS=1460 SACK_PERM=1 TSval=438 TSecr=424 WS=16"
"1401","1.798570","0.000413","10.1.0.2","10.1.2.2","TCP","82","34042 > 50000 [ACK] Seq=1 Ack=1 Win=58400 Len=0 TSval=438 TSecr=438"
"1402","1.798636","0.000066","10.1.0.2","10.1.2.2","TCP","594","34042 > 50000 [PSH, ACK] Seq=1 Ack=1 Win=58400 Len=512 TSval=438 TSecr=438"
"1403","1.799111","0.000475","10.1.0.2","10.1.2.2","TCP","1502","34042 > 50000 [PSH, ACK] Seq=513 Ack=1 Win=58400 Len=1420 TSval=438 TSecr=438"
"1405","1.800312","0.000953","10.1.0.2","10.1.2.2","TCP","1502","34042 > 50000 [PSH, ACK] Seq=1933 Ack=1 Win=58400 Len=1420 TSval=438 TSecr=438"
"1407","1.801514","0.000954","10.1.0.2","10.1.2.2","TCP","1502","34042 > 50000 [PSH, ACK] Seq=3353 Ack=1 Win=58400 Len=1428 TSval=438 TSecr=438"
"1409","1.802322","0.000560","10.1.2.2","10.1.0.2","TCP","70","50000 > 34042 [ACK] Seq=1 Ack=513 Win=58192 Len=0 TSval=450 TSecr=438"
"1410","1.802716","0.000394","10.1.0.2","10.1.2.2","TCP","1502","34042 > 50000 [PSH, ACK] Seq=4781 Ack=1 Win=58400 Len=1428 TSval=438 TSecr=438"
"1411","1.803524","0.000808","10.1.2.2","10.1.0.2","TCP","70","50000 > 34042 [ACK] Seq=1 Ack=1933 Win=61120 Len=0 TSval=450 TSecr=438"
"1412","1.803917","0.000393","10.1.0.2","10.1.2.2","TCP","1502","34042 > 50000 [PSH, ACK] Seq=6209 Ack=1 Win=58400 Len=1428 TSval=438 TSecr=438"
"1413","1.804725","0.000808","10.1.2.2","10.1.0.2","TCP","70","50000 > 34042 [ACK] Seq=1 Ack=3353 Win=64032 Len=0 TSval=451 TSecr=438"
"1414","1.805119","0.000394","10.1.0.2","10.1.2.2","TCP","1502","34042 > 50000 [PSH, ACK] Seq=7637 Ack=1 Win=58400 Len=1428 TSval=438 TSecr=438"
"1415","1.805908","0.000789","10.1.2.2","10.1.0.2","TCP","62","50000 > 34042 [ACK] Seq=1 Ack=4781 Win=66960 Len=0 TSval=451 TSecr=438"
"1416","1.806320","0.000412","10.1.0.2","10.1.2.2","TCP","1502","34042 > 50000 [PSH, ACK] Seq=9065 Ack=1 Win=58400 Len=1428 TSval=438 TSecr=438"
