Time,Source,Destination,Length,data len
4.017192s,10.1.3.1,10.2.3.1,1502,1428
4.017194s,10.2.3.1,10.1.3.1,62,
4.017312s,10.1.3.1,10.2.3.1,1502,1428
4.017314s,10.2.3.1,10.1.3.1,62,
4.017432s,10.1.3.1,10.2.3.1,1502,1428
4.017434s,10.2.3.1,10.1.3.1,62,
4.017552s,10.1.3.1,10.2.3.1,1502,1428
4.017555s,10.2.3.1,10.1.3.1,62,
4.017672s,10.1.3.1,10.2.3.1,1502,1428
4.017675s,10.2.3.1,10.1.3.1,62,
4.017793s,10.1.3.1,10.2.3.1,1502,1428
4.017795s,10.2.3.1,10.1.3.1,62,
4.017913s,10.1.3.1,10.2.3.1,1502,1428
4.017915s,10.2.3.1,10.1.3.1,62,
4.018033s,10.1.3.1,10.2.3.1,1502,1428
4.018035s,10.2.3.1,10.1.3.1,62,
4.018153s,10.1.3.1,10.2.3.1,1502,1428
4.018155s,10.2.3.1,10.1.3.1,62,
4.018273s,10.1.3.1,10.2.3.1,1502,1428
4.018276s,10.2.3.1,10.1.3.1,62,
4.018393s,10.1.3.1,10.2.3.1,1502,1428
4.018396s,10.2.3.1,10.1.3.1,62,
4.018514s,10.1.3.1,10.2.3.1,1502,1428
4.018516s,10.2.3.1,10.1.3.1,62,
4.018634s,10.1.3.1,10.2.3.1,1502,1428
4.018636s,10.2.3.1,10.1.3.1,62,
4.018754s,10.1.3.1,10.2.3.1,1502,1428
4.018756s,10.2.3.1,10.1.3.1,62,
4.018874s,10.1.3.1,10.2.3.1,1502,1428
4.018876s,10.2.3.1,10.1.3.1,62,
4.018994s,10.1.3.1,10.2.3.1,1502,1428
4.018997s,10.2.3.1,10.1.3.1,62,
4.019114s,10.1.3.1,10.2.3.1,1502,1428
4.019117s,10.2.3.1,10.1.3.1,62,
4.019235s,10.1.3.1,10.2.3.1,1502,1428
4.019237s,10.2.3.1,10.1.3.1,62,
4.019355s,10.1.3.1,10.2.3.1,1502,1428
4.019357s,10.2.3.1,10.1.3.1,62,
4.019475s,10.1.3.1,10.2.3.1,1502,1428
4.019477s,10.2.3.1,10.1.3.1,62,
4.019595s,10.1.3.1,10.2.3.1,1502,1428
4.019597s,10.2.3.1,10.1.3.1,62,
4.019715s,10.1.3.1,10.2.3.1,1502,1428
4.019718s,10.2.3.1,10.1.3.1,62,
4.019835s,10.1.3.1,10.2.3.1,1502,1428
4.019838s,10.2.3.1,10.1.3.1,62,
4.019956s,10.1.3.1,10.2.3.1,1502,1428
4.019958s,10.2.3.1,10.1.3.1,62,
4.020076s,10.1.3.1,10.2.3.1,1502,1428
4.020078s,10.2.3.1,10.1.3.1,62,
4.020196s,10.1.3.1,10.2.3.1,1502,1428
4.020198s,10.2.3.1,10.1.3.1,62,
4.020316s,10.1.3.1,10.2.3.1,1502,1428
4.020318s,10.2.3.1,10.1.3.1,62,
4.020436s,10.1.3.1,10.2.3.1,1502,1428
4.020438s,10.2.3.1,10.1.3.1,62,
4.020556s,10.1.3.1,10.2.3.1,1502,1428
4.020559s,10.2.3.1,10.1.3.1,62,
4.020676s,10.1.3.1,10.2.3.1,586,512
4.020679s,10.2.3.1,10.1.3.1,62,
4.020723s,10.1.3.1,10.2.3.1,1502,1428
4.020799s,10.2.3.1,10.1.3.1,62,
4.020844s,10.1.3.1,10.2.3.1,1502,1428
4.020919s,10.2.3.1,10.1.3.1,62,
4.020964s,10.1.3.1,10.2.3.1,1502,1428
4.020966s,10.2.3.1,10.1.3.1,62,
4.021084s,10.1.3.1,10.2.3.1,1502,1428
4.021086s,10.2.3.1,10.1.3.1,62,
4.021204s,10.1.3.1,10.2.3.1,1502,1428
4.021206s,10.2.3.1,10.1.3.1,62,
4.021324s,10.1.3.1,10.2.3.1,1502,1428
4.021326s,10.2.3.1,10.1.3.1,62,
4.021444s,10.1.3.1,10.2.3.1,1502,1428
4.021447s,10.2.3.1,10.1.3.1,62,
4.021564s,10.1.3.1,10.2.3.1,1502,1428
4.021567s,10.2.3.1,10.1.3.1,62,
4.021685s,10.1.3.1,10.2.3.1,1502,1428
4.021687s,10.2.3.1,10.1.3.1,62,
4.021805s,10.1.3.1,10.2.3.1,1502,1428
4.021807s,10.2.3.1,10.1.3.1,62,
4.021925s,10.1.3.1,10.2.3.1,1502,1428
4.021927s,10.2.3.1,10.1.3.1,62,
4.022045s,10.1.3.1,10.2.3.1,1502,1428
4.022047s,10.2.3.1,10.1.3.1,62,
4.022165s,10.1.3.1,10.2.3.1,1502,1428
4.022168s,10.2.3.1,10.1.3.1,62,
4.022285s,10.1.3.1,10.2.3.1,1502,1428
4.022288s,10.2.3.1,10.1.3.1,62,
4.022406s,10.1.3.1,10.2.3.1,1502,1428
4.022408s,10.2.3.1,10.1.3.1,62,
4.022526s,10.1.3.1,10.2.3.1,1502,1428
4.022528s,10.2.3.1,10.1.3.1,62,
4.022646s,10.1.3.1,10.2.3.1,1502,1428
4.022648s,10.2.3.1,10.1.3.1,62,
4.022766s,10.1.3.1,10.2.3.1,1502,1428
4.022768s,10.2.3.1,10.1.3.1,62,
4.022886s,10.1.3.1,10.2.3.1,1502,1428
4.022889s,10.2.3.1,10.1.3.1,62,
4.023006s,10.1.3.1,10.2.3.1,1502,1428
4.023009s,10.2.3.1,10.1.3.1,62,
4.023127s,10.1.3.1,10.2.3.1,1502,1428
4.023129s,10.2.3.1,10.1.3.1,62,
4.023247s,10.1.3.1,10.2.3.1,1502,1428
4.023249s,10.2.3.1,10.1.3.1,62,
4.023367s,10.1.3.1,10.2.3.1,1502,1428
4.023369s,10.2.3.1,10.1.3.1,62,
4.023487s,10.1.3.1,10.2.3.1,1502,1428
4.023489s,10.2.3.1,10.1.3.1,62,
4.023607s,10.1.3.1,10.2.3.1,1502,1428
4.023610s,10.2.3.1,10.1.3.1,62,
4.023727s,10.1.3.1,10.2.3.1,1502,1428
4.023730s,10.2.3.1,10.1.3.1,62,
4.023848s,10.1.3.1,10.2.3.1,1502,1428
4.023850s,10.2.3.1,10.1.3.1,62,
4.023968s,10.1.3.1,10.2.3.1,1502,1428
4.023970s,10.2.3.1,10.1.3.1,62,
4.024088s,10.1.3.1,10.2.3.1,1502,1428
4.024090s,10.2.3.1,10.1.3.1,62,
4.024208s,10.1.3.1,10.2.3.1,1502,1428
4.024210s,10.2.3.1,10.1.3.1,62,
4.024328s,10.1.3.1,10.2.3.1,1502,1428
4.024330s,10.2.3.1,10.1.3.1,62,
4.024448s,10.1.3.1,10.2.3.1,1502,1428
4.024451s,10.2.3.1,10.1.3.1,62,
4.024568s,10.1.3.1,10.2.3.1,1502,1428
4.024571s,10.2.3.1,10.1.3.1,62,
4.024689s,10.1.3.1,10.2.3.1,1502,1428
4.024691s,10.2.3.1,10.1.3.1,62,
4.024809s,10.1.3.1,10.2.3.1,1502,1428
4.024811s,10.2.3.1,10.1.3.1,62,
4.024929s,10.1.3.1,10.2.3.1,1502,1428
4.024931s,10.2.3.1,10.1.3.1,62,
4.025049s,10.1.3.1,10.2.3.1,1502,1428
4.025051s,10.2.3.1,10.1.3.1,62,
4.025169s,10.1.3.1,10.2.3.1,1502,1428
4.025172s,10.2.3.1,10.1.3.1,62,
4.025289s,10.1.3.1,10.2.3.1,1502,1428
4.025292s,10.2.3.1,10.1.3.1,62,
4.025410s,10.1.3.1,10.2.3.1,1502,1428
4.025412s,10.2.3.1,10.1.3.1,62,
4.025530s,10.1.3.1,10.2.3.1,1502,1428
4.025532s,10.2.3.1,10.1.3.1,62,
4.025650s,10.1.3.1,10.2.3.1,1502,1428
4.025652s,10.2.3.1,10.1.3.1,62,
4.025770s,10.1.3.1,10.2.3.1,1502,1428
4.025772s,10.2.3.1,10.1.3.1,62,
4.025890s,10.1.3.1,10.2.3.1,1502,1428
4.025893s,10.2.3.1,10.1.3.1,62,
4.026010s,10.1.3.1,10.2.3.1,1502,1428
4.026013s,10.2.3.1,10.1.3.1,62,
4.026131s,10.1.3.1,10.2.3.1,1502,1428
4.026133s,10.2.3.1,10.1.3.1,62,
4.026251s,10.1.3.1,10.2.3.1,1502,1428
4.026253s,10.2.3.1,10.1.3.1,62,
4.026371s,10.1.3.1,10.2.3.1,1502,1428
4.026373s,10.2.3.1,10.1.3.1,62,
4.026491s,10.1.3.1,10.2.3.1,1502,1428
4.026493s,10.2.3.1,10.1.3.1,62,
4.026611s,10.1.3.1,10.2.3.1,1502,1428
4.026614s,10.2.3.1,10.1.3.1,62,
4.026731s,10.1.3.1,10.2.3.1,1502,1428
4.026734s,10.2.3.1,10.1.3.1,62,
4.026852s,10.1.3.1,10.2.3.1,1502,1428
4.026854s,10.2.3.1,10.1.3.1,62,
4.026972s,10.1.3.1,10.2.3.1,1502,1428
4.026974s,10.2.3.1,10.1.3.1,62,
4.027092s,10.1.3.1,10.2.3.1,1502,1428
4.027094s,10.2.3.1,10.1.3.1,62,
4.027212s,10.1.3.1,10.2.3.1,1502,1428
4.027214s,10.2.3.1,10.1.3.1,62,
4.027332s,10.1.3.1,10.2.3.1,1502,1428
4.027334s,10.2.3.1,10.1.3.1,62,
4.027452s,10.1.3.1,10.2.3.1,1502,1428
4.027455s,10.2.3.1,10.1.3.1,62,
4.027572s,10.1.3.1,10.2.3.1,1502,1428
4.027575s,10.2.3.1,10.1.3.1,62,
4.027693s,10.1.3.1,10.2.3.1,1502,1428
4.027695s,10.2.3.1,10.1.3.1,62,
4.027813s,10.1.3.1,10.2.3.1,1502,1428
4.027815s,10.2.3.1,10.1.3.1,62,
4.027933s,10.1.3.1,10.2.3.1,586,512
4.027935s,10.2.3.1,10.1.3.1,62,
4.027980s,10.1.3.1,10.2.3.1,1502,1428
4.028055s,10.2.3.1,10.1.3.1,62,
4.028100s,10.1.3.1,10.2.3.1,1502,1428
4.028176s,10.2.3.1,10.1.3.1,62,
4.028220s,10.1.3.1,10.2.3.1,1502,1428
4.028222s,10.2.3.1,10.1.3.1,62,
4.028340s,10.1.3.1,10.2.3.1,1502,1428
4.028343s,10.2.3.1,10.1.3.1,62,
4.028460s,10.1.3.1,10.2.3.1,1502,1428
4.028463s,10.2.3.1,10.1.3.1,62,
4.028581s,10.1.3.1,10.2.3.1,1502,1428
4.028583s,10.2.3.1,10.1.3.1,62,
4.028701s,10.1.3.1,10.2.3.1,1502,1428
4.028703s,10.2.3.1,10.1.3.1,62,
4.028821s,10.1.3.1,10.2.3.1,1502,1428
4.028823s,10.2.3.1,10.1.3.1,62,
4.028941s,10.1.3.1,10.2.3.1,1502,1428
4.028943s,10.2.3.1,10.1.3.1,62,
4.029061s,10.1.3.1,10.2.3.1,1502,1428
4.029064s,10.2.3.1,10.1.3.1,62,
4.029181s,10.1.3.1,10.2.3.1,1502,1428
4.029184s,10.2.3.1,10.1.3.1,62,
4.029302s,10.1.3.1,10.2.3.1,1502,1428
4.029304s,10.2.3.1,10.1.3.1,62,
4.029422s,10.1.3.1,10.2.3.1,1502,1428
4.029424s,10.2.3.1,10.1.3.1,62,
4.029542s,10.1.3.1,10.2.3.1,1502,1428
4.029544s,10.2.3.1,10.1.3.1,62,
4.029662s,10.1.3.1,10.2.3.1,1502,1428
4.029664s,10.2.3.1,10.1.3.1,62,
4.029782s,10.1.3.1,10.2.3.1,1502,1428
4.029785s,10.2.3.1,10.1.3.1,62,
4.029902s,10.1.3.1,10.2.3.1,1502,1428
4.029905s,10.2.3.1,10.1.3.1,62,
4.030023s,10.1.3.1,10.2.3.1,1502,1428
4.030025s,10.2.3.1,10.1.3.1,62,
4.030143s,10.1.3.1,10.2.3.1,1502,1428
4.030145s,10.2.3.1,10.1.3.1,62,
4.030263s,10.1.3.1,10.2.3.1,1502,1428
4.030265s,10.2.3.1,10.1.3.1,62,
4.030383s,10.1.3.1,10.2.3.1,1502,1428
4.030385s,10.2.3.1,10.1.3.1,62,
4.030503s,10.1.3.1,10.2.3.1,1502,1428
4.030506s,10.2.3.1,10.1.3.1,62,
4.030623s,10.1.3.1,10.2.3.1,1502,1428
4.030626s,10.2.3.1,10.1.3.1,62,
4.030744s,10.1.3.1,10.2.3.1,1502,1428
4.030746s,10.2.3.1,10.1.3.1,62,
4.030864s,10.1.3.1,10.2.3.1,1502,1428
4.030866s,10.2.3.1,10.1.3.1,62,
4.030984s,10.1.3.1,10.2.3.1,1502,1428
4.030986s,10.2.3.1,10.1.3.1,62,
4.031104s,10.1.3.1,10.2.3.1,1502,1428
4.031106s,10.2.3.1,10.1.3.1,62,
4.031224s,10.1.3.1,10.2.3.1,1502,1428
4.031226s,10.2.3.1,10.1.3.1,62,
4.031344s,10.1.3.1,10.2.3.1,1502,1428
4.031347s,10.2.3.1,10.1.3.1,62,
4.031464s,10.1.3.1,10.2.3.1,1502,1428
4.031467s,10.2.3.1,10.1.3.1,62,
4.031585s,10.1.3.1,10.2.3.1,1502,1428
4.031587s,10.2.3.1,10.1.3.1,62,
4.031705s,10.1.3.1,10.2.3.1,1502,1428
4.031707s,10.2.3.1,10.1.3.1,62,
4.031825s,10.1.3.1,10.2.3.1,1502,1428
4.031827s,10.2.3.1,10.1.3.1,62,
4.031945s,10.1.3.1,10.2.3.1,1502,1428
4.031947s,10.2.3.1,10.1.3.1,62,
4.032065s,10.1.3.1,10.2.3.1,1502,1428
4.032068s,10.2.3.1,10.1.3.1,62,
4.032185s,10.1.3.1,10.2.3.1,1502,1428
4.032188s,10.2.3.1,10.1.3.1,62,
4.032306s,10.1.3.1,10.2.3.1,1502,1428
4.032308s,10.2.3.1,10.1.3.1,62,
4.032426s,10.1.3.1,10.2.3.1,1502,1428
4.032428s,10.2.3.1,10.1.3.1,62,
4.032546s,10.1.3.1,10.2.3.1,1502,1428
4.032548s,10.2.3.1,10.1.3.1,62,
4.032666s,10.1.3.1,10.2.3.1,1502,1428
4.032668s,10.2.3.1,10.1.3.1,62,
4.032786s,10.1.3.1,10.2.3.1,1502,1428
4.032789s,10.2.3.1,10.1.3.1,62,
4.032906s,10.1.3.1,10.2.3.1,1502,1428
4.032909s,10.2.3.1,10.1.3.1,62,
4.033027s,10.1.3.1,10.2.3.1,1502,1428
4.033029s,10.2.3.1,10.1.3.1,62,
4.033147s,10.1.3.1,10.2.3.1,1502,1428
4.033149s,10.2.3.1,10.1.3.1,62,
4.033267s,10.1.3.1,10.2.3.1,1502,1428
4.033269s,10.2.3.1,10.1.3.1,62,
4.033387s,10.1.3.1,10.2.3.1,1502,1428
4.033389s,10.2.3.1,10.1.3.1,62,
4.033507s,10.1.3.1,10.2.3.1,1502,1428
