"No.","Time","D_Time","Source","Destination","Protocol","Length","Sequence num","Ack number","data len","Calculated window size","Info"
"42","12.242869s","0.000003s","192.168.0.41","192.168.0.42","TCP","1514","26065","1","1448","29312","33947 > 49200 [ACK] Seq=26065 Ack=1 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"43","12.242881s","0.000012s","192.168.0.42","192.168.0.41","TCP","66","2","27513","","84096","49200 > 33947 [ACK] Seq=2 Ack=27513 Win=84096 Len=0 TSval=4226904 TSecr=127201307"
"44","12.242883s","0.000002s","192.168.0.41","192.168.0.42","TCP","1514","27513","1","1448","29312","33947 > 49200 [PSH, ACK] Seq=27513 Ack=1 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"45","12.242896s","0.000013s","192.168.0.42","192.168.0.41","TCP","66","2","28961","","86912","49200 > 33947 [ACK] Seq=2 Ack=28961 Win=86912 Len=0 TSval=4226904 TSecr=127201307"
"46","12.242899s","0.000003s","192.168.0.41","192.168.0.42","TCP","1514","28961","1","1448","29312","33947 > 49200 [ACK] Seq=28961 Ack=1 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"47","12.242910s","0.000011s","192.168.0.42","192.168.0.41","TCP","66","2","30409","","89856","49200 > 33947 [ACK] Seq=2 Ack=30409 Win=89856 Len=0 TSval=4226904 TSecr=127201307"
"48","12.242913s","0.000003s","192.168.0.41","192.168.0.42","TCP","1514","30409","1","1448","29312","33947 > 49200 [ACK] Seq=30409 Ack=1 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"49","12.242923s","0.000010s","192.168.0.42","192.168.0.41","TCP","66","2","31857","","92672","49200 > 33947 [ACK] Seq=2 Ack=31857 Win=92672 Len=0 TSval=4226904 TSecr=127201307"
"50","12.242926s","0.000003s","192.168.0.41","192.168.0.42","TCP","1514","31857","1","1448","29312","33947 > 49200 [ACK] Seq=31857 Ack=1 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"51","12.242932s","0.000006s","192.168.0.41","192.168.0.42","TCP","1514","33305","1","2896","29312","33947 > 49200 [ACK] Seq=33305 Ack=1 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"52","12.242937s","0.000005s","192.168.0.41","192.168.0.42","TCP","1514","34753","1","4344","29312","33947 > 49200 [ACK] Seq=34753 Ack=1 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"53","12.242942s","0.000005s","192.168.0.42","192.168.0.41","TCP","66","2","33305","","95616","49200 > 33947 [ACK] Seq=2 Ack=33305 Win=95616 Len=0 TSval=4226904 TSecr=127201307"
"54","12.242942s","0.000000s","192.168.0.41","192.168.0.42","TCP","1514","36201","1","4344","29312","33947 > 49200 [ACK] Seq=36201 Ack=1 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"55","12.242947s","0.000005s","192.168.0.41","192.168.0.42","TCP","1514","37649","1","5792","29312","33947 > 49200 [ACK] Seq=37649 Ack=1 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"56","12.242951s","0.000004s","192.168.0.42","192.168.0.41","TCP","66","2","34753","","98560","49200 > 33947 [ACK] Seq=2 Ack=34753 Win=98560 Len=0 TSval=4226904 TSecr=127201307"
"57","12.242952s","0.000001s","192.168.0.41","192.168.0.42","TCP","1514","39097","1","5792","29312","33947 > 49200 [ACK] Seq=39097 Ack=1 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"58","12.242957s","0.000005s","192.168.0.41","192.168.0.42","TCP","1514","40545","1","7240","29312","33947 > 49200 [ACK] Seq=40545 Ack=1 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"59","12.242959s","0.000002s","192.168.0.42","192.168.0.41","TCP","66","2","36201","","101376","49200 > 33947 [ACK] Seq=2 Ack=36201 Win=101376 Len=0 TSval=4226904 TSecr=127201307"
"60","12.242962s","0.000003s","192.168.0.41","192.168.0.42","TCP","1514","41993","1","7240","29312","33947 > 49200 [ACK] Seq=41993 Ack=1 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"61","12.242967s","0.000005s","192.168.0.41","192.168.0.42","TCP","1514","43441","2","8688","29312","33947 > 49200 [ACK] Seq=43441 Ack=2 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"62","12.242967s","0.000000s","192.168.0.42","192.168.0.41","TCP","66","2","37649","","104320","49200 > 33947 [ACK] Seq=2 Ack=37649 Win=104320 Len=0 TSval=4226904 TSecr=127201307"
"63","12.242971s","0.000004s","192.168.0.41","192.168.0.42","TCP","1514","44889","2","8688","29312","33947 > 49200 [ACK] Seq=44889 Ack=2 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"64","12.242975s","0.000004s","192.168.0.42","192.168.0.41","TCP","66","2","39097","","107264","49200 > 33947 [ACK] Seq=2 Ack=39097 Win=107264 Len=0 TSval=4226904 TSecr=127201307"
"65","12.242976s","0.000001s","192.168.0.41","192.168.0.42","TCP","1514","46337","2","8688","29312","33947 > 49200 [ACK] Seq=46337 Ack=2 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"66","12.242983s","0.000007s","192.168.0.42","192.168.0.41","TCP","66","2","40545","","110080","49200 > 33947 [ACK] Seq=2 Ack=40545 Win=110080 Len=0 TSval=4226904 TSecr=127201307"
"67","12.242992s","0.000009s","192.168.0.42","192.168.0.41","TCP","66","2","41993","","113024","49200 > 33947 [ACK] Seq=2 Ack=41993 Win=113024 Len=0 TSval=4226904 TSecr=127201307"
"68","12.242995s","0.000003s","192.168.0.41","192.168.0.42","TCP","1514","47785","2","7240","29312","33947 > 49200 [ACK] Seq=47785 Ack=2 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"69","12.243000s","0.000005s","192.168.0.42","192.168.0.41","TCP","66","2","43441","","115840","49200 > 33947 [ACK] Seq=2 Ack=43441 Win=115840 Len=0 TSval=4226904 TSecr=127201307"
"70","12.243000s","0.000000s","192.168.0.41","192.168.0.42","TCP","1514","49233","2","7240","29312","33947 > 49200 [ACK] Seq=49233 Ack=2 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"71","12.243005s","0.000005s","192.168.0.41","192.168.0.42","TCP","1514","50681","2","8688","29312","33947 > 49200 [ACK] Seq=50681 Ack=2 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"72","12.243010s","0.000005s","192.168.0.41","192.168.0.42","TCP","1514","52129","2","10136","29312","33947 > 49200 [PSH, ACK] Seq=52129 Ack=2 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"73","12.243010s","0.000000s","192.168.0.42","192.168.0.41","TCP","66","2","44889","","118784","49200 > 33947 [ACK] Seq=2 Ack=44889 Win=118784 Len=0 TSval=4226904 TSecr=127201307"
"74","12.243015s","0.000005s","192.168.0.41","192.168.0.42","TCP","1514","53577","2","10136","29312","33947 > 49200 [PSH, ACK] Seq=53577 Ack=2 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"75","12.243018s","0.000003s","192.168.0.42","192.168.0.41","TCP","66","2","46337","","121728","49200 > 33947 [ACK] Seq=2 Ack=46337 Win=121728 Len=0 TSval=4226904 TSecr=127201307"
"76","12.243019s","0.000001s","192.168.0.41","192.168.0.42","TCP","1514","55025","2","10136","29312","33947 > 49200 [ACK] Seq=55025 Ack=2 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"77","12.243025s","0.000006s","192.168.0.42","192.168.0.41","TCP","66","2","47785","","124544","49200 > 33947 [ACK] Seq=2 Ack=47785 Win=124544 Len=0 TSval=4226904 TSecr=127201307"
"78","12.243025s","0.000000s","192.168.0.41","192.168.0.42","TCP","1514","56473","2","10136","29312","33947 > 49200 [ACK] Seq=56473 Ack=2 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"79","12.243030s","0.000005s","192.168.0.41","192.168.0.42","TCP","1514","57921","2","11584","29312","33947 > 49200 [ACK] Seq=57921 Ack=2 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
"80","12.243032s","0.000002s","192.168.0.42","192.168.0.41","TCP","66","2","49233","","127488","49200 > 33947 [ACK] Seq=2 Ack=49233 Win=127488 Len=0 TSval=4226904 TSecr=127201307"
"81","12.243036s","0.000004s","192.168.0.41","192.168.0.42","TCP","1514","59369","2","11584","29312","33947 > 49200 [PSH, ACK] Seq=59369 Ack=2 Win=29312 Len=1448 TSval=127201307 TSecr=4226904"
