"No.","Time","New Column","Source","Destination","Protocol","Length","Window size value","Info"
"1175","1.514602","0.000005","10.4.14.2","10.1.2.2","TCP","62","1785","50000 > 49834 [ACK] Seq=1 Ack=40497 Win=14280 Len=0 TSval=378 TSecr=377"
"1181","1.515058","0.000108","10.1.2.2","10.4.14.2","TCP","1502","1825","49834 > 50000 [PSH, ACK] Seq=46209 Ack=1 Win=14600 Len=1428 TSval=378 TSecr=377"
"1184","1.515178","0.000040","10.1.2.2","10.4.14.2","TCP","1502","1825","49834 > 50000 [PSH, ACK] Seq=47637 Ack=1 Win=14600 Len=1428 TSval=378 TSecr=377"
"1185","1.515298","0.000120","10.1.2.2","10.4.14.2","TCP","1502","1825","49834 > 50000 [PSH, ACK] Seq=49065 Ack=1 Win=14600 Len=1428 TSval=378 TSecr=377"
"1186","1.515418","0.000120","10.1.2.2","10.4.14.2","TCP","1502","1825","49834 > 50000 [PSH, ACK] Seq=50493 Ack=1 Win=14600 Len=1428 TSval=378 TSecr=377"
"1192","1.515779","0.000106","10.1.2.2","10.4.14.2","TCP","1502","1825","49834 > 50000 [PSH, ACK] Seq=51921 Ack=1 Win=14600 Len=1428 TSval=378 TSecr=378"
"1194","1.515899","0.000105","10.1.2.2","10.4.14.2","TCP","1502","1825","[TCP Window Full] 49834 > 50000 [PSH, ACK] Seq=53349 Ack=1 Win=14600 Len=1428 TSval=378 TSecr=378"
"1200","1.516159","0.000005","10.4.14.2","10.1.2.2","TCP","62","1785","50000 > 49834 [ACK] Seq=1 Ack=43353 Win=14280 Len=0 TSval=378 TSecr=378"
"1210","1.516519","0.000000","10.1.2.2","10.4.14.2","TCP","1502","1825","49834 > 50000 [PSH, ACK] Seq=54777 Ack=1 Win=14600 Len=1428 TSval=379 TSecr=378"
"1211","1.516524","0.000005","10.4.14.2","10.1.2.2","TCP","62","1785","50000 > 49834 [ACK] Seq=1 Ack=46209 Win=14280 Len=0 TSval=378 TSecr=378"
"1212","1.516640","0.000116","10.1.2.2","10.4.14.2","TCP","1502","1825","49834 > 50000 [PSH, ACK] Seq=56205 Ack=1 Win=14600 Len=1428 TSval=379 TSecr=378"
"1217","1.516770","0.000005","10.1.2.2","10.4.14.2","TCP","1502","1825","49834 > 50000 [PSH, ACK] Seq=57633 Ack=1 Win=14600 Len=1428 TSval=379 TSecr=378"
"1219","1.516890","0.000005","10.1.2.2","10.4.14.2","TCP","1502","1825","[TCP Window Full] 49834 > 50000 [PSH, ACK] Seq=59061 Ack=1 Win=14600 Len=1428 TSval=379 TSecr=378"
"1232","1.517501","0.000005","10.4.14.2","10.1.2.2","TCP","62","1785","50000 > 49834 [ACK] Seq=1 Ack=49065 Win=14280 Len=0 TSval=379 TSecr=378"
"1233","1.517506","0.000005","10.4.14.2","10.1.2.2","TCP","62","1785","50000 > 49834 [ACK] Seq=1 Ack=51921 Win=14280 Len=0 TSval=379 TSecr=378"
"1236","1.517621","0.000010","10.4.14.2","10.1.2.2","TCP","62","1785","50000 > 49834 [ACK] Seq=1 Ack=54777 Win=14280 Len=0 TSval=379 TSecr=378"
"1241","1.517971","0.000050","10.1.2.2","10.4.14.2","TCP","1502","1825","49834 > 50000 [PSH, ACK] Seq=60489 Ack=1 Win=14600 Len=1428 TSval=379 TSecr=379"
"1242","1.518091","0.000120","10.1.2.2","10.4.14.2","TCP","1502","1825","49834 > 50000 [PSH, ACK] Seq=61917 Ack=1 Win=14600 Len=1428 TSval=379 TSecr=379"
"1244","1.518212","0.000113","10.1.2.2","10.4.14.2","TCP","1502","1825","49834 > 50000 [PSH, ACK] Seq=63345 Ack=1 Win=14600 Len=1428 TSval=379 TSecr=379"
"1247","1.518332","0.000108","10.1.2.2","10.4.14.2","TCP","1502","1825","49834 > 50000 [PSH, ACK] Seq=64773 Ack=1 Win=14600 Len=1428 TSval=379 TSecr=379"
"1253","1.518692","0.000108","10.1.2.2","10.4.14.2","TCP","1502","1825","49834 > 50000 [PSH, ACK] Seq=66201 Ack=1 Win=14600 Len=1428 TSval=379 TSecr=379"
"1255","1.518812","0.000107","10.1.2.2","10.4.14.2","TCP","944","1825","49834 > 50000 [PSH, ACK] Seq=67629 Ack=1 Win=14600 Len=870 TSval=379 TSecr=379"
"1257","1.518830","0.000005","10.4.14.2","10.1.2.2","TCP","62","1785","50000 > 49834 [ACK] Seq=1 Ack=57633 Win=14280 Len=0 TSval=379 TSecr=379"
"1267","1.519315","0.000005","10.4.14.2","10.1.2.2","TCP","62","1785","50000 > 49834 [ACK] Seq=1 Ack=60489 Win=14280 Len=0 TSval=379 TSecr=379"
"1287","1.520202","0.000005","10.4.14.2","10.1.2.2","TCP","62","1785","50000 > 49834 [ACK] Seq=1 Ack=63345 Win=14280 Len=0 TSval=379 TSecr=379"
"1288","1.520207","0.000005","10.4.14.2","10.1.2.2","TCP","62","1785","50000 > 49834 [ACK] Seq=1 Ack=66201 Win=14280 Len=0 TSval=379 TSecr=379"
"1290","1.520217","0.000005","10.4.14.2","10.1.2.2","TCP","62","1785","50000 > 49834 [ACK] Seq=1 Ack=68499 Win=14280 Len=0 TSval=379 TSecr=379"
"1291","1.520217","0.000000","10.1.2.2","10.4.14.2","TCP","62","1825","49834 > 50000 [FIN, ACK] Seq=68499 Ack=1 Win=14600 Len=0 TSval=380 TSecr=379"
"1325","1.560502","0.000005","10.4.14.2","10.1.2.2","TCP","62","1785","50000 > 49834 [ACK] Seq=1 Ack=68500 Win=14280 Len=0 TSval=390 TSecr=380"
