"No.","Time","Delta time","Source","Destination","Protocol","Length","Window size value","Info"
"1715","1.738533","0.000000","10.1.2.2","10.3.8.2","TCP","1502","1825","44187 > 50000 [PSH, ACK] Seq=13365 Ack=1 Win=14600 Len=1428 TSval=434 TSecr=434"
"1716","1.738653","0.000120","10.1.2.2","10.3.8.2","TCP","1502","1825","44187 > 50000 [PSH, ACK] Seq=14793 Ack=1 Win=14600 Len=1428 TSval=434 TSecr=434"
"1717","1.738773","0.000120","10.1.2.2","10.3.8.2","TCP","1502","1825","44187 > 50000 [PSH, ACK] Seq=16221 Ack=1 Win=14600 Len=1428 TSval=434 TSecr=434"
"1718","1.738893","0.000120","10.1.2.2","10.3.8.2","TCP","1502","1825","44187 > 50000 [PSH, ACK] Seq=17649 Ack=1 Win=14600 Len=1428 TSval=434 TSecr=434"
"1725","1.740287","0.000898","10.3.8.2","10.1.2.2","TCP","62","730","50000 > 44187 [ACK] Seq=1 Ack=14793 Win=5840 Len=0 TSval=434 TSecr=434"
"1726","1.740287","0.000000","10.1.2.2","10.3.8.2","TCP","1502","1825","44187 > 50000 [PSH, ACK] Seq=19077 Ack=1 Win=14600 Len=1428 TSval=435 TSecr=434"
"1729","1.740407","0.000000","10.3.8.2","10.1.2.2","TCP","62","730","50000 > 44187 [ACK] Seq=1 Ack=16221 Win=5840 Len=0 TSval=434 TSecr=434"
"1730","1.740454","0.000047","10.1.2.2","10.3.8.2","TCP","1502","1825","44187 > 50000 [PSH, ACK] Seq=20505 Ack=1 Win=14600 Len=1428 TSval=435 TSecr=434"
"1732","1.740528","0.000055","10.3.8.2","10.1.2.2","TCP","62","730","50000 > 44187 [ACK] Seq=1 Ack=17649 Win=5840 Len=0 TSval=434 TSecr=434"
"1734","1.740579","0.000005","10.1.2.2","10.3.8.2","TCP","1502","1825","44187 > 50000 [PSH, ACK] Seq=21933 Ack=1 Win=14600 Len=1428 TSval=435 TSecr=434"
"1739","1.741729","0.000118","10.3.8.2","10.1.2.2","TCP","62","730","50000 > 44187 [ACK] Seq=1 Ack=20505 Win=5840 Len=0 TSval=435 TSecr=434"
"1740","1.741729","0.000000","10.1.2.2","10.3.8.2","TCP","1502","1825","44187 > 50000 [PSH, ACK] Seq=23361 Ack=1 Win=14600 Len=1428 TSval=435 TSecr=435"
"1741","1.741849","0.000120","10.1.2.2","10.3.8.2","TCP","1502","1825","44187 > 50000 [PSH, ACK] Seq=24789 Ack=1 Win=14600 Len=1428 TSval=435 TSecr=435"
"1744","1.742037","0.000005","10.3.8.2","10.1.2.2","TCP","62","730","50000 > 44187 [ACK] Seq=1 Ack=23361 Win=5840 Len=0 TSval=435 TSecr=435"
"1745","1.742037","0.000000","10.1.2.2","10.3.8.2","TCP","1502","1825","44187 > 50000 [PSH, ACK] Seq=26217 Ack=1 Win=14600 Len=1428 TSval=435 TSecr=435"
"1747","1.742157","0.000005","10.1.2.2","10.3.8.2","TCP","1502","1825","44187 > 50000 [PSH, ACK] Seq=27645 Ack=1 Win=14600 Len=1428 TSval=435 TSecr=435"
"1753","1.743367","0.000193","10.3.8.2","10.1.2.2","TCP","62","730","50000 > 44187 [ACK] Seq=1 Ack=26217 Win=5840 Len=0 TSval=435 TSecr=435"
