Time,Source,Destination,Length,data len
4.039739s,10.2.2.1,10.1.2.1,62,
4.039739s,10.1.2.1,10.2.2.1,1502,1428
4.040101s,10.2.2.1,10.1.2.1,62,
4.040101s,10.1.2.1,10.2.2.1,1502,1428
4.040464s,10.2.2.1,10.1.2.1,62,
4.040464s,10.1.2.1,10.2.2.1,1502,1428
4.040827s,10.2.2.1,10.1.2.1,62,
4.040827s,10.1.2.1,10.2.2.1,1502,1428
4.041190s,10.2.2.1,10.1.2.1,62,
4.041190s,10.1.2.1,10.2.2.1,1502,1428
4.041553s,10.2.2.1,10.1.2.1,62,
4.041553s,10.1.2.1,10.2.2.1,1502,1428
4.041915s,10.2.2.1,10.1.2.1,62,
4.041915s,10.1.2.1,10.2.2.1,1502,1428
4.042278s,10.2.2.1,10.1.2.1,62,
4.042278s,10.1.2.1,10.2.2.1,1502,1428
4.042641s,10.2.2.1,10.1.2.1,62,
4.042641s,10.1.2.1,10.2.2.1,1502,1428
4.043004s,10.2.2.1,10.1.2.1,62,
4.043004s,10.1.2.1,10.2.2.1,1502,1428
4.043367s,10.2.2.1,10.1.2.1,62,
4.043367s,10.1.2.1,10.2.2.1,1502,1428
4.043729s,10.2.2.1,10.1.2.1,62,
4.043729s,10.1.2.1,10.2.2.1,1502,1428
4.044092s,10.2.2.1,10.1.2.1,62,
4.044092s,10.1.2.1,10.2.2.1,1502,1428
4.044455s,10.2.2.1,10.1.2.1,62,
4.044455s,10.1.2.1,10.2.2.1,1502,1428
4.044818s,10.2.2.1,10.1.2.1,62,
4.044818s,10.1.2.1,10.2.2.1,1502,1428
4.045181s,10.2.2.1,10.1.2.1,62,
4.045181s,10.1.2.1,10.2.2.1,1502,1428
4.045543s,10.2.2.1,10.1.2.1,62,
4.045543s,10.1.2.1,10.2.2.1,1502,1428
4.045906s,10.2.2.1,10.1.2.1,62,
4.046157s,10.1.2.1,10.2.2.1,586,512
4.046336s,10.2.2.1,10.1.2.1,62,
4.046336s,10.1.2.1,10.2.2.1,1502,1428
4.046699s,10.2.2.1,10.1.2.1,62,
4.046699s,10.1.2.1,10.2.2.1,1502,1428
4.047062s,10.2.2.1,10.1.2.1,62,
4.047062s,10.1.2.1,10.2.2.1,1502,1428
4.047425s,10.2.2.1,10.1.2.1,62,
4.047425s,10.1.2.1,10.2.2.1,1502,1428
4.047788s,10.2.2.1,10.1.2.1,62,
4.047788s,10.1.2.1,10.2.2.1,1502,1428
4.048150s,10.2.2.1,10.1.2.1,62,
4.048150s,10.1.2.1,10.2.2.1,1502,1428
4.048513s,10.2.2.1,10.1.2.1,62,
4.048513s,10.1.2.1,10.2.2.1,1502,1428
4.048876s,10.2.2.1,10.1.2.1,62,
4.048876s,10.1.2.1,10.2.2.1,1502,1428
4.049239s,10.2.2.1,10.1.2.1,62,
4.049239s,10.1.2.1,10.2.2.1,1502,1428
4.049602s,10.2.2.1,10.1.2.1,62,
4.049602s,10.1.2.1,10.2.2.1,1502,1428
4.049964s,10.2.2.1,10.1.2.1,62,
4.049964s,10.1.2.1,10.2.2.1,1502,1428
4.050327s,10.2.2.1,10.1.2.1,62,
4.050327s,10.1.2.1,10.2.2.1,1502,1428
4.050690s,10.2.2.1,10.1.2.1,62,
4.050690s,10.1.2.1,10.2.2.1,1502,1428
4.051053s,10.2.2.1,10.1.2.1,62,
4.051053s,10.1.2.1,10.2.2.1,1502,1428
