Time,Source,Destination,Length,data len
4.600772s,10.1.2.1,10.2.2.1,1502,1428
4.640037s,10.2.2.1,10.1.2.1,62,
4.640037s,10.1.2.1,10.2.2.1,1502,1428
4.680037s,10.2.2.1,10.1.2.1,62,
4.681038s,10.1.2.1,10.2.2.1,1502,1428
4.720037s,10.2.2.1,10.1.2.1,62,
4.720037s,10.1.2.1,10.2.2.1,1502,1428
4.760037s,10.2.2.1,10.1.2.1,62,
4.761786s,10.1.2.1,10.2.2.1,1502,1428
4.800037s,10.2.2.1,10.1.2.1,62,
4.800716s,10.1.2.1,10.2.2.1,1502,1428
4.840037s,10.2.2.1,10.1.2.1,62,
4.840037s,10.1.2.1,10.2.2.1,1502,1428
4.880037s,10.2.2.1,10.1.2.1,62,
4.881859s,10.1.2.1,10.2.2.1,1502,1428
4.920037s,10.2.2.1,10.1.2.1,62,
4.920397s,10.1.2.1,10.2.2.1,1502,1428
4.960037s,10.2.2.1,10.1.2.1,62,
4.960037s,10.1.2.1,10.2.2.1,1502,1428
5.000037s,10.2.2.1,10.1.2.1,62,
5.001866s,10.1.2.1,10.2.2.1,1502,1428
5.040037s,10.2.2.1,10.1.2.1,62,
5.040037s,10.1.2.1,10.2.2.1,1502,1428
5.040157s,10.1.2.1,10.2.2.1,1502,1428
5.040520s,10.2.2.1,10.1.2.1,62,
5.040520s,10.1.2.1,10.2.2.1,1502,1428
5.040640s,10.1.2.1,10.2.2.1,1502,1428
5.040760s,10.1.2.1,10.2.2.1,1502,1428
5.041003s,10.2.2.1,10.1.2.1,62,
5.041003s,10.1.2.1,10.2.2.1,1502,1428
5.041123s,10.1.2.1,10.2.2.1,1502,1428
5.041243s,10.1.2.1,10.2.2.1,1502,1428
5.041366s,10.2.2.1,10.1.2.1,62,
5.041366s,10.1.2.1,10.2.2.1,1502,1428
5.041486s,10.1.2.1,10.2.2.1,1502,1428
5.041606s,10.1.2.1,10.2.2.1,1502,1428
5.041606s,10.2.2.1,10.1.2.1,62,
5.041726s,10.1.2.1,10.2.2.1,1502,1428
5.041846s,10.1.2.1,10.2.2.1,1502,1428
5.041849s,10.2.2.1,10.1.2.1,62,
5.041966s,10.1.2.1,10.2.2.1,1502,1428
5.042087s,10.1.2.1,10.2.2.1,1502,1428
5.042089s,10.2.2.1,10.1.2.1,62,
5.042207s,10.1.2.1,10.2.2.1,1502,1428
5.042327s,10.1.2.1,10.2.2.1,1502,1428
5.042329s,10.2.2.1,10.1.2.1,62,
5.042447s,10.1.2.1,10.2.2.1,1502,1428
5.042567s,10.1.2.1,10.2.2.1,1502,1428
5.042570s,10.2.2.1,10.1.2.1,62,
5.042687s,10.1.2.1,10.2.2.1,1502,1428
5.042808s,10.1.2.1,10.2.2.1,1502,1428
5.042810s,10.2.2.1,10.1.2.1,62,
5.042928s,10.1.2.1,10.2.2.1,1502,1428
5.043048s,10.1.2.1,10.2.2.1,1502,1428
5.043050s,10.2.2.1,10.1.2.1,62,
5.043168s,10.1.2.1,10.2.2.1,1502,1428
5.043288s,10.1.2.1,10.2.2.1,1502,1428
5.043291s,10.2.2.1,10.1.2.1,62,
5.043408s,10.1.2.1,10.2.2.1,1502,1428
5.043529s,10.1.2.1,10.2.2.1,1502,1428
5.043531s,10.2.2.1,10.1.2.1,62,
5.043649s,10.1.2.1,10.2.2.1,1502,1428
5.043769s,10.1.2.1,10.2.2.1,1502,1428
5.043771s,10.2.2.1,10.1.2.1,62,
5.043889s,10.1.2.1,10.2.2.1,1502,1428
5.044009s,10.1.2.1,10.2.2.1,1502,1428
5.044011s,10.2.2.1,10.1.2.1,62,
5.044129s,10.1.2.1,10.2.2.1,1502,1428
5.044249s,10.1.2.1,10.2.2.1,1502,1428
5.044252s,10.2.2.1,10.1.2.1,62,
5.044370s,10.1.2.1,10.2.2.1,1502,1428
5.044490s,10.1.2.1,10.2.2.1,1502,1428
5.044492s,10.2.2.1,10.1.2.1,62,
5.044610s,10.1.2.1,10.2.2.1,1502,1428
5.044730s,10.1.2.1,10.2.2.1,1502,1428
5.044732s,10.2.2.1,10.1.2.1,62,
5.044850s,10.1.2.1,10.2.2.1,1502,1428
5.044970s,10.1.2.1,10.2.2.1,1502,1428
5.044973s,10.2.2.1,10.1.2.1,62,
5.045091s,10.1.2.1,10.2.2.1,1502,1428
5.045211s,10.1.2.1,10.2.2.1,1502,1428
5.045213s,10.2.2.1,10.1.2.1,62,
5.045331s,10.1.2.1,10.2.2.1,1502,1428
5.045451s,10.1.2.1,10.2.2.1,1502,1428
5.045453s,10.2.2.1,10.1.2.1,62,
5.045571s,10.1.2.1,10.2.2.1,1502,1428
5.045691s,10.1.2.1,10.2.2.1,1502,1428
5.045694s,10.2.2.1,10.1.2.1,62,
5.045812s,10.1.2.1,10.2.2.1,1502,1428
5.045932s,10.1.2.1,10.2.2.1,1502,1428
5.045934s,10.2.2.1,10.1.2.1,62,
5.046052s,10.1.2.1,10.2.2.1,1502,1428
5.046172s,10.1.2.1,10.2.2.1,1502,1428
5.046174s,10.2.2.1,10.1.2.1,62,
5.046292s,10.1.2.1,10.2.2.1,1502,1428
5.046412s,10.1.2.1,10.2.2.1,1502,1428
5.046415s,10.2.2.1,10.1.2.1,62,
5.046533s,10.1.2.1,10.2.2.1,1502,1428
5.046653s,10.1.2.1,10.2.2.1,1502,1428
5.046655s,10.2.2.1,10.1.2.1,62,
5.046773s,10.1.2.1,10.2.2.1,1502,1428
5.046893s,10.1.2.1,10.2.2.1,1502,1428
5.046895s,10.2.2.1,10.1.2.1,62,
5.047013s,10.1.2.1,10.2.2.1,1502,1428
5.047133s,10.1.2.1,10.2.2.1,1502,1428
5.047136s,10.2.2.1,10.1.2.1,62,
5.047253s,10.1.2.1,10.2.2.1,1502,1428
5.047374s,10.1.2.1,10.2.2.1,1502,1428
5.047376s,10.2.2.1,10.1.2.1,62,
5.047494s,10.1.2.1,10.2.2.1,1502,1428
5.047614s,10.1.2.1,10.2.2.1,1502,1428
5.047616s,10.2.2.1,10.1.2.1,62,
5.047734s,10.1.2.1,10.2.2.1,1502,1428
5.047854s,10.1.2.1,10.2.2.1,1502,1428
5.047857s,10.2.2.1,10.1.2.1,62,
5.047974s,10.1.2.1,10.2.2.1,1502,1428
5.048095s,10.1.2.1,10.2.2.1,1502,1428
5.048097s,10.2.2.1,10.1.2.1,62,
5.048215s,10.1.2.1,10.2.2.1,1502,1428
5.048335s,10.1.2.1,10.2.2.1,1502,1428
5.048337s,10.2.2.1,10.1.2.1,62,
5.048455s,10.1.2.1,10.2.2.1,1502,1428
5.048575s,10.1.2.1,10.2.2.1,1502,1428
5.048578s,10.2.2.1,10.1.2.1,62,
5.048695s,10.1.2.1,10.2.2.1,1502,1428
5.048816s,10.1.2.1,10.2.2.1,1502,1428
5.048818s,10.2.2.1,10.1.2.1,62,
5.048936s,10.1.2.1,10.2.2.1,1502,1428
5.049056s,10.1.2.1,10.2.2.1,1502,1428
5.049058s,10.2.2.1,10.1.2.1,62,
5.049176s,10.1.2.1,10.2.2.1,1502,1428
5.049296s,10.1.2.1,10.2.2.1,1502,1428
5.049299s,10.2.2.1,10.1.2.1,62,
5.049416s,10.1.2.1,10.2.2.1,1502,1428
