Time,Source,Destination,Length,data len
4.039559s,10.2.1.1,10.1.1.1,62,
4.039559s,10.1.1.1,10.2.1.1,1502,1428
4.039922s,10.2.1.1,10.1.1.1,62,
4.039922s,10.1.1.1,10.2.1.1,1502,1428
4.040285s,10.2.1.1,10.1.1.1,62,
4.040285s,10.1.1.1,10.2.1.1,1502,1428
4.040647s,10.2.1.1,10.1.1.1,62,
4.040647s,10.1.1.1,10.2.1.1,1502,1428
4.041010s,10.2.1.1,10.1.1.1,62,
4.041010s,10.1.1.1,10.2.1.1,1502,1428
4.041373s,10.2.1.1,10.1.1.1,62,
4.041373s,10.1.1.1,10.2.1.1,1502,1428
4.041736s,10.2.1.1,10.1.1.1,62,
4.041736s,10.1.1.1,10.2.1.1,1502,1428
4.042099s,10.2.1.1,10.1.1.1,62,
4.042099s,10.1.1.1,10.2.1.1,1502,1428
4.042461s,10.2.1.1,10.1.1.1,62,
4.042461s,10.1.1.1,10.2.1.1,1502,1428
4.042824s,10.2.1.1,10.1.1.1,62,
4.042824s,10.1.1.1,10.2.1.1,1502,1428
4.043187s,10.2.1.1,10.1.1.1,62,
4.043187s,10.1.1.1,10.2.1.1,1502,1428
4.043550s,10.2.1.1,10.1.1.1,62,
4.043550s,10.1.1.1,10.2.1.1,1502,1428
4.043913s,10.2.1.1,10.1.1.1,62,
4.043913s,10.1.1.1,10.2.1.1,1502,1428
4.044275s,10.2.1.1,10.1.1.1,62,
4.044275s,10.1.1.1,10.2.1.1,1502,1428
4.044638s,10.2.1.1,10.1.1.1,62,
4.044638s,10.1.1.1,10.2.1.1,1502,1428
4.045001s,10.2.1.1,10.1.1.1,62,
4.045001s,10.1.1.1,10.2.1.1,1502,1428
4.045364s,10.2.1.1,10.1.1.1,62,
4.045364s,10.1.1.1,10.2.1.1,1502,1428
4.045727s,10.2.1.1,10.1.1.1,62,
4.046157s,10.1.1.1,10.2.1.1,1502,1428
4.046520s,10.2.1.1,10.1.1.1,62,
4.046520s,10.1.1.1,10.2.1.1,1502,1428
4.046640s,10.1.1.1,10.2.1.1,1502,1428
4.046882s,10.2.1.1,10.1.1.1,62,
4.046882s,10.1.1.1,10.2.1.1,1502,1428
4.047003s,10.1.1.1,10.2.1.1,1502,1428
4.047003s,10.2.1.1,10.1.1.1,62,
4.047123s,10.1.1.1,10.2.1.1,1502,1428
4.047243s,10.1.1.1,10.2.1.1,1502,1428
4.047245s,10.2.1.1,10.1.1.1,62,
4.047363s,10.1.1.1,10.2.1.1,1502,1428
4.047365s,10.2.1.1,10.1.1.1,62,
4.047483s,10.1.1.1,10.2.1.1,1502,1428
4.047486s,10.2.1.1,10.1.1.1,62,
4.047603s,10.1.1.1,10.2.1.1,1502,1428
4.047606s,10.2.1.1,10.1.1.1,62,
4.047724s,10.1.1.1,10.2.1.1,1502,1428
4.047726s,10.2.1.1,10.1.1.1,62,
4.047844s,10.1.1.1,10.2.1.1,1502,1428
4.047846s,10.2.1.1,10.1.1.1,62,
4.047964s,10.1.1.1,10.2.1.1,1502,1428
4.047966s,10.2.1.1,10.1.1.1,62,
4.048084s,10.1.1.1,10.2.1.1,1502,1428
4.048086s,10.2.1.1,10.1.1.1,62,
4.048204s,10.1.1.1,10.2.1.1,1502,1428
4.048206s,10.2.1.1,10.1.1.1,62,
4.048324s,10.1.1.1,10.2.1.1,1502,1428
4.048327s,10.2.1.1,10.1.1.1,62,
4.048444s,10.1.1.1,10.2.1.1,1502,1428
4.048447s,10.2.1.1,10.1.1.1,62,
4.048565s,10.1.1.1,10.2.1.1,1502,1428
4.048567s,10.2.1.1,10.1.1.1,62,
4.048685s,10.1.1.1,10.2.1.1,1502,1428
4.048687s,10.2.1.1,10.1.1.1,62,
4.048805s,10.1.1.1,10.2.1.1,1502,1428
4.048807s,10.2.1.1,10.1.1.1,62,
4.048925s,10.1.1.1,10.2.1.1,1502,1428
4.048927s,10.2.1.1,10.1.1.1,62,
4.049045s,10.1.1.1,10.2.1.1,1502,1428
4.049048s,10.2.1.1,10.1.1.1,62,
4.049165s,10.1.1.1,10.2.1.1,1502,1428
4.049168s,10.2.1.1,10.1.1.1,62,
4.049286s,10.1.1.1,10.2.1.1,1502,1428
4.049288s,10.2.1.1,10.1.1.1,62,
4.049406s,10.1.1.1,10.2.1.1,1502,1428
4.049408s,10.2.1.1,10.1.1.1,62,
4.049526s,10.1.1.1,10.2.1.1,1502,1428
4.049528s,10.2.1.1,10.1.1.1,62,
4.049646s,10.1.1.1,10.2.1.1,1502,1428
4.049648s,10.2.1.1,10.1.1.1,62,
4.049766s,10.1.1.1,10.2.1.1,1502,1428
4.049769s,10.2.1.1,10.1.1.1,62,
4.049886s,10.1.1.1,10.2.1.1,1502,1428
4.049889s,10.2.1.1,10.1.1.1,62,
4.050007s,10.1.1.1,10.2.1.1,1502,1428
4.050009s,10.2.1.1,10.1.1.1,62,
4.050127s,10.1.1.1,10.2.1.1,1502,1428
4.050129s,10.2.1.1,10.1.1.1,62,
4.050247s,10.1.1.1,10.2.1.1,1502,1428
4.050249s,10.2.1.1,10.1.1.1,62,
4.050367s,10.1.1.1,10.2.1.1,1502,1428
4.050369s,10.2.1.1,10.1.1.1,62,
4.050487s,10.1.1.1,10.2.1.1,1502,1428
4.050490s,10.2.1.1,10.1.1.1,62,
