"No.","Time","D_Time","Source","Destination","Protocol","Length","Sequence num","Ack number","data len","Calculated window size","Info"
"3357","1.371619s","0.000004s","192.168.0.41","192.168.0.42","TCP","1514","651601","2","37648","29312","46745 > 49203 [ACK] Seq=651601 Ack=2 Win=29312 Len=1448 TSval=166832 TSecr=188775"
"3358","1.371622s","0.000003s","192.168.0.41","192.168.0.42","TCP","1514","653049","2","39096","29312","46745 > 49203 [ACK] Seq=653049 Ack=2 Win=29312 Len=1448 TSval=166832 TSecr=188775"
"3359","1.371625s","0.000003s","192.168.0.41","192.168.0.42","TCP","1514","654497","2","40544","29312","46745 > 49203 [ACK] Seq=654497 Ack=2 Win=29312 Len=1448 TSval=166832 TSecr=188775"
"3360","1.371634s","0.000009s","192.168.0.41","192.168.0.42","TCP","1514","655945","2","41992","29312","46745 > 49203 [ACK] Seq=655945 Ack=2 Win=29312 Len=1448 TSval=166832 TSecr=188775"
"3361","1.371638s","0.000004s","192.168.0.41","192.168.0.42","TCP","1514","657393","2","43440","29312","46745 > 49203 [ACK] Seq=657393 Ack=2 Win=29312 Len=1448 TSval=166832 TSecr=188775"
"3362","1.371642s","0.000004s","192.168.0.41","192.168.0.42","TCP","1514","658841","2","44888","29312","46745 > 49203 [ACK] Seq=658841 Ack=2 Win=29312 Len=1448 TSval=166832 TSecr=188775"
"3363","1.376039s","0.004397s","192.168.0.42","192.168.0.41","TCP","66","2","660289","","156416","49203 > 46745 [ACK] Seq=2 Ack=660289 Win=156416 Len=0 TSval=188776 TSecr=166832"
"3364","1.376395s","0.000356s","192.168.0.41","192.168.0.42","TCP","1514","660289","2","1448","29312","46745 > 49203 [ACK] Seq=660289 Ack=2 Win=29312 Len=1448 TSval=166833 TSecr=188776"
"3365","1.376418s","0.000023s","192.168.0.42","192.168.0.41","TCP","66","2","661737","","159360","49203 > 46745 [ACK] Seq=2 Ack=661737 Win=159360 Len=0 TSval=188776 TSecr=166833"
"3366","1.376423s","0.000005s","192.168.0.41","192.168.0.42","TCP","1514","661737","2","1448","29312","46745 > 49203 [ACK] Seq=661737 Ack=2 Win=29312 Len=1448 TSval=166833 TSecr=188776"
"3367","1.376438s","0.000015s","192.168.0.42","192.168.0.41","TCP","66","2","663185","","162176","49203 > 46745 [ACK] Seq=2 Ack=663185 Win=162176 Len=0 TSval=188776 TSecr=166833"
"3368","1.376442s","0.000004s","192.168.0.41","192.168.0.42","TCP","1514","663185","2","1448","29312","46745 > 49203 [ACK] Seq=663185 Ack=2 Win=29312 Len=1448 TSval=166833 TSecr=188776"
