"No.","Time","D_Time","Source","Destination","Protocol","Length","Sequence num","Ack number","data len","Calculated window size","Info"
"2575","0.043402s","0.000003s","192.168.0.41","192.168.0.42","TCP","1514","318561","2","28960","29312","60973 > 49204 [ACK] Seq=318561 Ack=2 Win=29312 Len=1448 TSval=158635 TSecr=180578"
"2602","0.046126s","0.002724s","192.168.0.42","192.168.0.41","TCP","66","2","320009","","10112","49204 > 60973 [ACK] Seq=2 Ack=320009 Win=10112 Len=0 TSval=180579 TSecr=158635"
"2619","0.046308s","0.000182s","192.168.0.42","192.168.0.41","TCP","66","2","320009","","27520","[TCP Window Update] 49204 > 60973 [ACK] Seq=2 Ack=320009 Win=27520 Len=0 TSval=180579 TSecr=158635"
"2668","0.046999s","0.000691s","192.168.0.41","192.168.0.42","TCP","1514","320009","2","1448","29312","60973 > 49204 [ACK] Seq=320009 Ack=2 Win=29312 Len=1448 TSval=158636 TSecr=180579"
"2669","0.047006s","0.000007s","192.168.0.41","192.168.0.42","TCP","1514","321457","2","2896","29312","60973 > 49204 [ACK] Seq=321457 Ack=2 Win=29312 Len=1448 TSval=158636 TSecr=180579"
"2670","0.047011s","0.000005s","192.168.0.41","192.168.0.42","TCP","1514","322905","2","4344","29312","60973 > 49204 [ACK] Seq=322905 Ack=2 Win=29312 Len=1448 TSval=158636 TSecr=180579"
"2671","0.047016s","0.000005s","192.168.0.41","192.168.0.42","TCP","1514","324353","2","5792","29312","60973 > 49204 [ACK] Seq=324353 Ack=2 Win=29312 Len=1448 TSval=158636 TSecr=180579"
"2672","0.047022s","0.000006s","192.168.0.41","192.168.0.42","TCP","1514","325801","2","7240","29312","60973 > 49204 [ACK] Seq=325801 Ack=2 Win=29312 Len=1448 TSval=158636 TSecr=180579"
"2673","0.047027s","0.000005s","192.168.0.41","192.168.0.42","TCP","1514","327249","2","8688","29312","60973 > 49204 [ACK] Seq=327249 Ack=2 Win=29312 Len=1448 TSval=158636 TSecr=180579"
"2720","0.047560s","0.000533s","192.168.0.41","192.168.0.42","TCP","1514","328697","2","10136","29312","60973 > 49204 [ACK] Seq=328697 Ack=2 Win=29312 Len=1448 TSval=158636 TSecr=180579"
"2721","0.047562s","0.000002s","192.168.0.41","192.168.0.42","TCP","1514","330145","2","11584","29312","60973 > 49204 [ACK] Seq=330145 Ack=2 Win=29312 Len=1448 TSval=158636 TSecr=180579"
"2723","0.047566s","0.000004s","192.168.0.41","192.168.0.42","TCP","1514","331593","2","13032","29312","60973 > 49204 [ACK] Seq=331593 Ack=2 Win=29312 Len=1448 TSval=158636 TSecr=180579"
"2724","0.047567s","0.000001s","192.168.0.41","192.168.0.42","TCP","1514","333041","2","14480","29312","60973 > 49204 [ACK] Seq=333041 Ack=2 Win=29312 Len=1448 TSval=158636 TSecr=180579"
"2726","0.047719s","0.000152s","192.168.0.41","192.168.0.42","TCP","1514","334489","2","15928","29312","60973 > 49204 [PSH, ACK] Seq=334489 Ack=2 Win=29312 Len=1448 TSval=158636 TSecr=180579"
"2727","0.047726s","0.000007s","192.168.0.41","192.168.0.42","TCP","1514","335937","2","17376","29312","60973 > 49204 [ACK] Seq=335937 Ack=2 Win=29312 Len=1448 TSval=158636 TSecr=180579"
"2728","0.047733s","0.000007s","192.168.0.41","192.168.0.42","TCP","1514","337385","2","18824","29312","60973 > 49204 [ACK] Seq=337385 Ack=2 Win=29312 Len=1448 TSval=158636 TSecr=180579"
"2730","0.047744s","0.000011s","192.168.0.41","192.168.0.42","TCP","1514","338833","2","20272","29312","60973 > 49204 [ACK] Seq=338833 Ack=2 Win=29312 Len=1448 TSval=158636 TSecr=180579"
"2731","0.047750s","0.000006s","192.168.0.41","192.168.0.42","TCP","1514","340281","2","21720","29312","60973 > 49204 [ACK] Seq=340281 Ack=2 Win=29312 Len=1448 TSval=158636 TSecr=180579"
"2732","0.047756s","0.000006s","192.168.0.41","192.168.0.42","TCP","1514","341729","2","23168","29312","60973 > 49204 [ACK] Seq=341729 Ack=2 Win=29312 Len=1448 TSval=158636 TSecr=180579"
"2734","0.047768s","0.000012s","192.168.0.41","192.168.0.42","TCP","1514","343177","2","24616","29312","60973 > 49204 [ACK] Seq=343177 Ack=2 Win=29312 Len=1448 TSval=158636 TSecr=180579"
"2736","0.047784s","0.000016s","192.168.0.41","192.168.0.42","TCP","1514","344625","2","26064","29312","60973 > 49204 [ACK] Seq=344625 Ack=2 Win=29312 Len=1448 TSval=158636 TSecr=180579"
"2737","0.047790s","0.000006s","192.168.0.41","192.168.0.42","TCP","1514","346073","2","27512","29312","60973 > 49204 [ACK] Seq=346073 Ack=2 Win=29312 Len=1448 TSval=158636 TSecr=180579"
"2743","0.048097s","0.000307s","192.168.0.42","192.168.0.41","TCP","66","2","347521","","9216","49204 > 60973 [ACK] Seq=2 Ack=347521 Win=9216 Len=0 TSval=180580 TSecr=158636"
"2787","0.048884s","0.000787s","192.168.0.41","192.168.0.42","TCP","1514","347521","2","1448","29312","60973 > 49204 [ACK] Seq=347521 Ack=2 Win=29312 Len=1448 TSval=158637 TSecr=180580"
"2788","0.048888s","0.000004s","192.168.0.41","192.168.0.42","TCP","1514","348969","2","2896","29312","60973 > 49204 [ACK] Seq=348969 Ack=2 Win=29312 Len=1448 TSval=158637 TSecr=180580"
"2789","0.048891s","0.000003s","192.168.0.41","192.168.0.42","TCP","1514","350417","2","4344","29312","60973 > 49204 [ACK] Seq=350417 Ack=2 Win=29312 Len=1448 TSval=158637 TSecr=180580"
"2790","0.048894s","0.000003s","192.168.0.41","192.168.0.42","TCP","1514","351865","2","5792","29312","60973 > 49204 [ACK] Seq=351865 Ack=2 Win=29312 Len=1448 TSval=158637 TSecr=180580"
"2791","0.048897s","0.000003s","192.168.0.41","192.168.0.42","TCP","1514","353313","2","7240","29312","60973 > 49204 [ACK] Seq=353313 Ack=2 Win=29312 Len=1448 TSval=158637 TSecr=180580"
