Time,Source,Destination,Length,data len
4.006854s,10.2.0.1,10.1.0.1,54,
4.006973s,10.1.0.1,10.2.0.1,1502,1448
4.006974s,10.2.0.1,10.1.0.1,54,
4.007093s,10.1.0.1,10.2.0.1,1502,1448
4.007094s,10.2.0.1,10.1.0.1,54,
4.007213s,10.1.0.1,10.2.0.1,1502,1448
4.007214s,10.2.0.1,10.1.0.1,54,
4.007333s,10.1.0.1,10.2.0.1,1502,1448
4.007334s,10.2.0.1,10.1.0.1,54,
4.007454s,10.1.0.1,10.2.0.1,1502,1448
4.007454s,10.2.0.1,10.1.0.1,54,
4.007574s,10.1.0.1,10.2.0.1,1502,1448
4.007575s,10.2.0.1,10.1.0.1,54,
4.007694s,10.1.0.1,10.2.0.1,1502,1448
4.007695s,10.2.0.1,10.1.0.1,54,
4.007814s,10.1.0.1,10.2.0.1,1502,1448
4.007815s,10.2.0.1,10.1.0.1,54,
4.007934s,10.1.0.1,10.2.0.1,1502,1448
4.007935s,10.2.0.1,10.1.0.1,54,
4.008054s,10.1.0.1,10.2.0.1,1502,1448
4.008055s,10.2.0.1,10.1.0.1,54,
4.008175s,10.1.0.1,10.2.0.1,1502,1448
4.008175s,10.2.0.1,10.1.0.1,54,
4.008295s,10.1.0.1,10.2.0.1,1502,1448
4.008296s,10.2.0.1,10.1.0.1,54,
4.008415s,10.1.0.1,10.2.0.1,1502,1448
4.008416s,10.2.0.1,10.1.0.1,54,
4.008535s,10.1.0.1,10.2.0.1,1502,1448
4.008536s,10.2.0.1,10.1.0.1,54,
4.008655s,10.1.0.1,10.2.0.1,1502,1448
4.008656s,10.2.0.1,10.1.0.1,54,
4.008775s,10.1.0.1,10.2.0.1,1502,1448
4.008776s,10.2.0.1,10.1.0.1,54,
4.008896s,10.1.0.1,10.2.0.1,1502,1448
4.008896s,10.2.0.1,10.1.0.1,54,
4.009016s,10.1.0.1,10.2.0.1,1502,1448
4.009016s,10.2.0.1,10.1.0.1,54,
4.009136s,10.1.0.1,10.2.0.1,1502,1448
4.009137s,10.2.0.1,10.1.0.1,54,
4.009256s,10.1.0.1,10.2.0.1,1502,1448
4.009257s,10.2.0.1,10.1.0.1,54,
4.009376s,10.1.0.1,10.2.0.1,1502,1448
4.009377s,10.2.0.1,10.1.0.1,54,
4.009496s,10.1.0.1,10.2.0.1,1502,1448
4.009497s,10.2.0.1,10.1.0.1,54,
4.009617s,10.1.0.1,10.2.0.1,1502,1448
4.009617s,10.2.0.1,10.1.0.1,54,
4.009737s,10.1.0.1,10.2.0.1,1502,1448
4.009737s,10.2.0.1,10.1.0.1,54,
4.009857s,10.1.0.1,10.2.0.1,1502,1448
4.009858s,10.2.0.1,10.1.0.1,54,
4.009977s,10.1.0.1,10.2.0.1,1502,1448
4.009978s,10.2.0.1,10.1.0.1,54,
4.010097s,10.1.0.1,10.2.0.1,1502,1448
4.010098s,10.2.0.1,10.1.0.1,54,
4.010217s,10.1.0.1,10.2.0.1,1502,1448
4.010218s,10.2.0.1,10.1.0.1,54,
4.010337s,10.1.0.1,10.2.0.1,1502,1448
4.010338s,10.2.0.1,10.1.0.1,54,
4.010458s,10.1.0.1,10.2.0.1,1502,1448
4.010458s,10.2.0.1,10.1.0.1,54,
4.010578s,10.1.0.1,10.2.0.1,1502,1448
4.010579s,10.2.0.1,10.1.0.1,54,
4.010698s,10.1.0.1,10.2.0.1,1502,1448
4.010699s,10.2.0.1,10.1.0.1,54,
4.010818s,10.1.0.1,10.2.0.1,1502,1448
4.010819s,10.2.0.1,10.1.0.1,54,
4.010938s,10.1.0.1,10.2.0.1,1502,1448
4.010939s,10.2.0.1,10.1.0.1,54,
4.011058s,10.1.0.1,10.2.0.1,1502,1448
4.011059s,10.2.0.1,10.1.0.1,54,
4.011179s,10.1.0.1,10.2.0.1,1502,1448
4.011179s,10.2.0.1,10.1.0.1,54,
4.011299s,10.1.0.1,10.2.0.1,1502,1448
4.011300s,10.2.0.1,10.1.0.1,54,
4.011419s,10.1.0.1,10.2.0.1,1502,1448
4.011420s,10.2.0.1,10.1.0.1,54,
4.011539s,10.1.0.1,10.2.0.1,1502,1448
4.011540s,10.2.0.1,10.1.0.1,54,
4.011659s,10.1.0.1,10.2.0.1,1502,1448
4.011660s,10.2.0.1,10.1.0.1,54,
4.011779s,10.1.0.1,10.2.0.1,1502,1448
4.011780s,10.2.0.1,10.1.0.1,54,
4.011900s,10.1.0.1,10.2.0.1,1502,1448
4.011900s,10.2.0.1,10.1.0.1,54,
4.012020s,10.1.0.1,10.2.0.1,1502,1448
4.012020s,10.2.0.1,10.1.0.1,54,
4.012140s,10.1.0.1,10.2.0.1,1502,1448
4.012141s,10.2.0.1,10.1.0.1,54,
4.012260s,10.1.0.1,10.2.0.1,1502,1448
4.012261s,10.2.0.1,10.1.0.1,54,
4.012380s,10.1.0.1,10.2.0.1,1502,1448
4.012381s,10.2.0.1,10.1.0.1,54,
4.012500s,10.1.0.1,10.2.0.1,1502,1448
4.012501s,10.2.0.1,10.1.0.1,54,
4.012621s,10.1.0.1,10.2.0.1,1502,1448
4.012621s,10.2.0.1,10.1.0.1,54,
4.012741s,10.1.0.1,10.2.0.1,1502,1448
4.012741s,10.2.0.1,10.1.0.1,54,
4.012861s,10.1.0.1,10.2.0.1,1502,1448
4.012862s,10.2.0.1,10.1.0.1,54,
4.012981s,10.1.0.1,10.2.0.1,1502,1448
4.012982s,10.2.0.1,10.1.0.1,54,
4.013101s,10.1.0.1,10.2.0.1,1502,1448
4.013102s,10.2.0.1,10.1.0.1,54,
4.013221s,10.1.0.1,10.2.0.1,1502,1448
4.013222s,10.2.0.1,10.1.0.1,54,
4.013341s,10.1.0.1,10.2.0.1,1502,1448
4.013342s,10.2.0.1,10.1.0.1,54,
4.013462s,10.1.0.1,10.2.0.1,1502,1448
4.013462s,10.2.0.1,10.1.0.1,54,
4.013582s,10.1.0.1,10.2.0.1,1502,1448
4.013583s,10.2.0.1,10.1.0.1,54,
4.013702s,10.1.0.1,10.2.0.1,1502,1448
4.013703s,10.2.0.1,10.1.0.1,54,
4.013822s,10.1.0.1,10.2.0.1,1502,1448
4.013823s,10.2.0.1,10.1.0.1,54,
4.013942s,10.1.0.1,10.2.0.1,1502,1448
4.013943s,10.2.0.1,10.1.0.1,54,
4.014062s,10.1.0.1,10.2.0.1,1502,1448
4.014063s,10.2.0.1,10.1.0.1,54,
4.014183s,10.1.0.1,10.2.0.1,1502,1448
4.014183s,10.2.0.1,10.1.0.1,54,
4.014303s,10.1.0.1,10.2.0.1,1502,1448
4.014304s,10.2.0.1,10.1.0.1,54,
4.014423s,10.1.0.1,10.2.0.1,1502,1448
4.014424s,10.2.0.1,10.1.0.1,54,
4.014543s,10.1.0.1,10.2.0.1,1502,1448
4.014544s,10.2.0.1,10.1.0.1,54,
4.014663s,10.1.0.1,10.2.0.1,1502,1448
4.014664s,10.2.0.1,10.1.0.1,54,
4.014783s,10.1.0.1,10.2.0.1,1502,1448
4.014784s,10.2.0.1,10.1.0.1,54,
4.014904s,10.1.0.1,10.2.0.1,1502,1448
4.014904s,10.2.0.1,10.1.0.1,54,
4.015024s,10.1.0.1,10.2.0.1,1502,1448
4.015024s,10.2.0.1,10.1.0.1,54,
4.015144s,10.1.0.1,10.2.0.1,1502,1448
4.015145s,10.2.0.1,10.1.0.1,54,
4.015264s,10.1.0.1,10.2.0.1,1502,1448
4.015265s,10.2.0.1,10.1.0.1,54,
4.015384s,10.1.0.1,10.2.0.1,1502,1448
4.015385s,10.2.0.1,10.1.0.1,54,
4.015504s,10.1.0.1,10.2.0.1,1502,1448
4.015505s,10.2.0.1,10.1.0.1,54,
4.015625s,10.1.0.1,10.2.0.1,1502,1448
4.015625s,10.2.0.1,10.1.0.1,54,
4.015745s,10.1.0.1,10.2.0.1,1502,1448
4.015745s,10.2.0.1,10.1.0.1,54,
4.015865s,10.1.0.1,10.2.0.1,1502,1448
4.015866s,10.2.0.1,10.1.0.1,54,
4.015985s,10.1.0.1,10.2.0.1,1502,1448
4.015986s,10.2.0.1,10.1.0.1,54,
4.016105s,10.1.0.1,10.2.0.1,1502,1448
4.016106s,10.2.0.1,10.1.0.1,54,
4.016225s,10.1.0.1,10.2.0.1,1502,1448
4.016226s,10.2.0.1,10.1.0.1,54,
4.016345s,10.1.0.1,10.2.0.1,1502,1448
4.016346s,10.2.0.1,10.1.0.1,54,
4.016466s,10.1.0.1,10.2.0.1,1502,1448
4.016466s,10.2.0.1,10.1.0.1,54,
4.016586s,10.1.0.1,10.2.0.1,1502,1448
4.016587s,10.2.0.1,10.1.0.1,54,
4.016706s,10.1.0.1,10.2.0.1,1502,1448
4.016707s,10.2.0.1,10.1.0.1,54,
4.016826s,10.1.0.1,10.2.0.1,1502,1448
4.016827s,10.2.0.1,10.1.0.1,54,
4.016946s,10.1.0.1,10.2.0.1,1502,1448
4.016947s,10.2.0.1,10.1.0.1,54,
4.017066s,10.1.0.1,10.2.0.1,1502,1448
4.017067s,10.2.0.1,10.1.0.1,54,
4.017187s,10.1.0.1,10.2.0.1,1502,1448
4.017187s,10.2.0.1,10.1.0.1,54,
4.017307s,10.1.0.1,10.2.0.1,1502,1448
4.017308s,10.2.0.1,10.1.0.1,54,
4.017427s,10.1.0.1,10.2.0.1,1502,1448
4.017428s,10.2.0.1,10.1.0.1,54,
4.017547s,10.1.0.1,10.2.0.1,1502,1448
4.017548s,10.2.0.1,10.1.0.1,54,
4.017667s,10.1.0.1,10.2.0.1,1502,1448
4.017668s,10.2.0.1,10.1.0.1,54,
4.017787s,10.1.0.1,10.2.0.1,1502,1448
4.017788s,10.2.0.1,10.1.0.1,54,
4.017908s,10.1.0.1,10.2.0.1,1502,1448
4.017908s,10.2.0.1,10.1.0.1,54,
4.018028s,10.1.0.1,10.2.0.1,1502,1448
4.018028s,10.2.0.1,10.1.0.1,54,
4.018148s,10.1.0.1,10.2.0.1,1502,1448
4.018149s,10.2.0.1,10.1.0.1,54,
4.018268s,10.1.0.1,10.2.0.1,1502,1448
4.018269s,10.2.0.1,10.1.0.1,54,
4.018388s,10.1.0.1,10.2.0.1,1502,1448
4.018389s,10.2.0.1,10.1.0.1,54,
4.018508s,10.1.0.1,10.2.0.1,1502,1448
4.018509s,10.2.0.1,10.1.0.1,54,
4.018629s,10.1.0.1,10.2.0.1,1502,1448
4.018629s,10.2.0.1,10.1.0.1,54,
