16777738<->16777482,1,1,1,1,4100
16777738<->16777482,1,1,1,1,4076
16777738<->16777482,1,1,1,1,4076
16777738<->16777482,1,1,1,1,4076
16777738<->16777482,1,1,1,1,4080
16777738<->16777482,1,1,1,1,4076
16777738<->16777482,1,1,1,1,4112
16777738<->16777482,1,1,1,1,4112
16777738<->16777482,1,1,1,1,4112
16843274<->16843018,1,1,1,1,4280
16777738<->16777482,1,1,1,1,4080
16777738<->16777482,2,1,1,1,4076
16777738<->16777482,2,1,1,1,4076
16777738<->16777482,2,1,1,1,4076
16777738<->16777482,2,1,1,1,4076
16843274<->16843018,2,1,1,1,4076
16777738<->16777482,2,1,1,1,4076
16777738<->16777482,2,1,1,1,4076
16777738<->16777482,2,1,1,1,4076
16843274<->16843018,2,1,1,1,4076
16843274<->16843018,2,1,1,1,4280
16843274<->16843018,2,1,1,1,4076
16777738<->16777482,4,1,1,1,4076
16777738<->16777482,4,1,1,1,4076
16777738<->16777482,4,1,1,1,4076
16777738<->16777482,4,1,1,1,4076
16843274<->16843018,4,1,1,1,4076
16777738<->16777482,4,1,1,1,4076
16777738<->16777482,4,1,1,1,4076
16777738<->16777482,4,1,1,1,4076
16843274<->16843018,4,1,1,1,4076
16843274<->16843018,4,1,1,1,4280
16843274<->16843018,4,1,1,1,4076
16777738<->16777482,-1,1,1,1,4172
16777738<->16777482,-1,1,1,1,4172
16777738<->16777482,-1,1,1,1,4172
16777738<->16777482,-1,1,1,1,4120
16777738<->16777482,-1,1,1,1,4120
16777738<->16777482,-1,1,1,1,4124
16843274<->16843018,-1,1,1,1,4124
16777738<->16777482,-1,1,1,1,4116
16777738<->16777482,-1,1,1,1,4212
16843274<->16843018,-1,1,1,1,4280
16777738<->16777482,-1,1,1,1,4268
16777738<->16777482,-2,1,1,1,4236
16777738<->16777482,-2,1,1,1,4236
16777738<->16777482,-2,1,1,1,4240
16777738<->16777482,-2,1,1,1,4264
16777738<->16777482,-2,1,1,1,4264
16777738<->16777482,-2,1,1,1,4264
16777738<->16777482,-2,1,1,1,4264
16777738<->16777482,-2,1,1,1,4264
16777738<->16777482,-2,1,1,1,4284
16777738<->16777482,-2,1,1,1,4280
16777738<->16777482,-2,1,1,1,4300
16777738<->16777482,1,1,4,1,4236
16777738<->16777482,1,1,4,1,4236
16777738<->16777482,1,1,4,1,4228
16843274<->16843018,1,1,4,1,4264
16777738<->16777482,1,1,4,1,4264
16777738<->16777482,1,1,4,1,4264
16777738<->16777482,1,1,4,1,4264
16777738<->16777482,1,1,4,1,4264
16777738<->16777482,1,1,4,1,4280
16777738<->16777482,1,1,4,1,4280
16777738<->16777482,1,1,4,1,4292
16777738<->16777482,1,1,2,1,4172
16777738<->16777482,1,1,2,1,4172
16777738<->16777482,1,1,2,1,4172
16777738<->16777482,1,1,2,1,4120
16777738<->16777482,1,1,2,1,4120
16777738<->16777482,1,1,2,1,4124
16777738<->16777482,1,1,2,1,4116
16777738<->16777482,1,1,2,1,4212
16843274<->16843018,1,1,2,1,4280
16843274<->16843018,1,1,2,1,4268
16777738<->16777482,1,1,-1,1,4076
16777738<->16777482,1,1,-1,1,4076
16777738<->16777482,1,1,-1,1,4076
16777738<->16777482,1,1,-1,1,4076
16843274<->16843018,1,1,-1,1,4076
16777738<->16777482,1,1,-1,1,4076
16777738<->16777482,1,1,-1,1,4076
16777738<->16777482,1,1,-1,1,4076
16843274<->16843018,1,1,-1,1,4076
16843274<->16843018,1,1,-1,1,4280
16843274<->16843018,1,1,-1,1,4076
16777738<->16777482,1,1,-2,1,4076
16777738<->16777482,1,1,-2,1,4076
16777738<->16777482,1,1,-2,1,4076
16777738<->16777482,1,1,-2,1,4076
16843274<->16843018,1,1,-2,1,4076
16777738<->16777482,1,1,-2,1,4076
16777738<->16777482,1,1,-2,1,4076
16777738<->16777482,1,1,-2,1,4076
16843274<->16843018,1,1,-2,1,4076
16843274<->16843018,1,1,-2,1,4280
16843274<->16843018,1,1,-2,1,4076
